,lat,long
243,37.76813,-122.42215
244,37.76816,-122.42215
245,37.76817,-122.42215
246,37.76818,-122.42214
247,37.76819,-122.42214
248,37.76819,-122.42214
249,37.7682,-122.42214
250,37.76821,-122.42214
251,37.76822,-122.42213
252,37.76822,-122.42213
253,37.76822,-122.42213
254,37.76822,-122.42214
255,37.76822,-122.42214
256,37.76822,-122.42214
257,37.76823,-122.42214
258,37.76823,-122.42214
259,37.76823,-122.42214
260,37.76823,-122.42214
261,37.76823,-122.42214
262,37.76823,-122.42214
263,37.76823,-122.42215
264,37.76823,-122.42215
265,37.76825,-122.42215
266,37.76827,-122.42214
267,37.76828,-122.42213
268,37.7683,-122.42213
269,37.76832,-122.42213
270,37.76836,-122.42214
271,37.76838,-122.42215
272,37.76842,-122.42215
273,37.76847,-122.42214
274,37.76852,-122.42214
275,37.76857,-122.42213
276,37.76862,-122.42213
277,37.76868,-122.42213
278,37.76872,-122.42213
279,37.76877,-122.42213
280,37.7688,-122.42214
281,37.76885,-122.42214
282,37.76889,-122.42215
283,37.76893,-122.42215
284,37.76897,-122.42216
285,37.769,-122.42218
286,37.76904,-122.42219
287,37.76908,-122.42219
288,37.76913,-122.42219
289,37.76919,-122.4222
290,37.76924,-122.42221
291,37.7693,-122.42221
292,37.76936,-122.4222
293,37.7694,-122.4222
294,37.76946,-122.4222
295,37.76949,-122.42221
296,37.76952,-122.42222
297,37.76956,-122.42222
298,37.76958,-122.42222
299,37.76959,-122.42224
300,37.7696,-122.42225
301,37.76963,-122.42226
302,37.76966,-122.42226
303,37.76971,-122.42226
304,37.76976,-122.42227
305,37.76981,-122.42227
306,37.76985,-122.42227
307,37.76988,-122.42228
308,37.7699,-122.42228
309,37.76992,-122.42229
310,37.76995,-122.42229
311,37.77,-122.4223
312,37.77006,-122.42231
313,37.77011,-122.42232
314,37.77016,-122.42233
315,37.77022,-122.42234
316,37.77028,-122.42235
317,37.77034,-122.42236
318,37.77039,-122.42236
319,37.77044,-122.42236
