latitude,longitude,elevation
41.340478,-124.033877,21.0
41.340405,-124.033872,21.0
41.340336,-124.033863,21.0
41.340269,-124.03385,21.0
41.340201,-124.033833,21.0
41.340132,-124.033809,21.0
41.340067,-124.03378,20.8
41.340007,-124.03375,20.8
41.339949,-124.033721,20.8
41.339895,-124.033691,20.8
41.339842,-124.033661,21.0
41.339788,-124.033629,21.0
41.339743,-124.033596,21.0
41.339696,-124.033555,21.0
41.339643,-124.033508,20.8
41.339597,-124.033463,20.6
41.339556,-124.033421,20.6
41.339519,-124.033385,20.6
41.339485,-124.033346,20.6
41.339452,-124.033295,20.6
41.339416,-124.033244,20.6
41.339377,-124.033206,20.6
41.339335,-124.03316,20.4
41.339295,-124.033122,20.4
41.339255,-124.033092,20.2
41.339211,-124.033031,20.2
41.339166,-124.032987,20.0
41.33912,-124.032948,20.0
41.339075,-124.032889,19.8
41.339025,-124.032848,19.6
41.338978,-124.032805,19.6
41.338923,-124.032694,19.4
41.338883,-124.032634,19.4
41.338835,-124.032532,19.2
41.338784,-124.032467,19.0
41.338734,-124.032411,18.8
41.338684,-124.03235,18.6
41.338631,-124.032258,18.4
41.338578,-124.032165,18.2
41.338535,-124.032104,18.2
41.338494,-124.032039,18.0
41.338464,-124.031988,18.0
41.338423,-124.031954,17.8
41.338375,-124.03185,17.4
41.338332,-124.031772,17.4
41.338295,-124.031701,17.2
41.338257,-124.03163,17.2
41.338221,-124.031558,17.2
41.338188,-124.031492,17.0
41.338161,-124.031424,17.0
41.338135,-124.031357,17.0
41.338107,-124.031303,17.0
41.33806,-124.031253,16.8
41.338014,-124.031189,16.8
41.337967,-124.031129,16.8
41.337916,-124.031081,16.6
41.337871,-124.031035,16.6
41.337818,-124.031,16.4
41.337756,-124.030972,16.4
41.337695,-124.030938,16.4
41.337638,-124.030908,16.4
41.337568,-124.030885,16.2
41.337505,-124.030846,16.2
41.337441,-124.030812,16.2
41.337379,-124.03078,16.0
41.337295,-124.030775,16.0
41.337212,-124.030758,16.0
41.337147,-124.030739,16.0
41.337077,-124.03072,16.0
41.33699,-124.030715,16.0
41.336926,-124.030705,15.8
41.336865,-124.030696,15.8
41.336782,-124.030703,15.8
41.336712,-124.030693,15.8
41.336639,-124.030693,15.6
41.336576,-124.030683,15.4
41.336514,-124.030675,15.4
