,lat,long
617,37.76094,-122.44638
618,37.76097,-122.44638
619,37.761,-122.44639
620,37.76103,-122.44639
621,37.76105,-122.44639
622,37.76107,-122.4464
623,37.76108,-122.44641
624,37.76109,-122.44641
625,37.76109,-122.44641
626,37.76114,-122.44641
627,37.76117,-122.44642
628,37.7612,-122.44642
629,37.76125,-122.44644
630,37.7613,-122.44646
631,37.76136,-122.44649
632,37.76142,-122.44651
633,37.76149,-122.44654
634,37.76156,-122.44658
635,37.76162,-122.44663
636,37.76169,-122.44668
637,37.76176,-122.44673
638,37.76183,-122.44677
639,37.7619,-122.44681
640,37.76197,-122.44684
641,37.76204,-122.44686
642,37.76212,-122.44688
643,37.7622,-122.44689
644,37.76227,-122.4469
645,37.76235,-122.44691
646,37.76241,-122.44692
647,37.76248,-122.44693
648,37.76255,-122.44694
649,37.76262,-122.44695
650,37.7627,-122.44696
651,37.76277,-122.44698
652,37.76286,-122.447
653,37.76294,-122.44702
654,37.76302,-122.44704
655,37.76311,-122.44706
656,37.76319,-122.44708
657,37.76328,-122.4471
658,37.76337,-122.44712
659,37.76346,-122.44714
660,37.76356,-122.44715
661,37.76366,-122.44717
662,37.76375,-122.44719
663,37.76385,-122.44722
664,37.76394,-122.44724
665,37.76403,-122.44725
666,37.76412,-122.44726
667,37.76421,-122.44728
668,37.7643,-122.44731
669,37.76439,-122.44734
670,37.76447,-122.44738
671,37.76455,-122.44742
672,37.76464,-122.44746
673,37.76471,-122.4475
674,37.76478,-122.44753
675,37.76483,-122.44756
676,37.7649,-122.44758
677,37.76495,-122.44759
678,37.76499,-122.4476
679,37.76502,-122.44762
680,37.76505,-122.44762
681,37.76508,-122.44762
682,37.7651,-122.44763
683,37.76513,-122.44764
684,37.76515,-122.44766
685,37.76516,-122.4477
686,37.76517,-122.44776
687,37.76516,-122.44783
688,37.76515,-122.44791
689,37.76514,-122.448
690,37.76512,-122.44809
691,37.76511,-122.4482
692,37.7651,-122.4483
693,37.76508,-122.44841
694,37.76507,-122.44852
695,37.76505,-122.44863
696,37.76504,-122.44874
697,37.76503,-122.44885
698,37.76502,-122.44896
699,37.76501,-122.44906
700,37.76499,-122.44915
701,37.76498,-122.44924
702,37.76497,-122.44934
703,37.76496,-122.44942
704,37.76495,-122.4495
705,37.76495,-122.44957
706,37.76494,-122.44963
707,37.76494,-122.44968
708,37.76496,-122.44974
709,37.76499,-122.44979
710,37.76503,-122.44981
711,37.76509,-122.44983
712,37.76513,-122.44982
713,37.76519,-122.44983
714,37.76524,-122.44984
715,37.7653,-122.44985
716,37.76536,-122.44986
717,37.76542,-122.44988
718,37.76549,-122.44989
719,37.76555,-122.4499
720,37.76562,-122.44991
721,37.76568,-122.44992
722,37.76574,-122.44993
723,37.7658,-122.44994
724,37.76586,-122.44994
725,37.76591,-122.44995
726,37.76597,-122.44996
727,37.76602,-122.44997
728,37.76608,-122.44998
729,37.76613,-122.45001
730,37.7662,-122.45003
731,37.76626,-122.45005
732,37.76633,-122.45007
733,37.7664,-122.45008
734,37.76648,-122.45009
735,37.76654,-122.45011
736,37.76659,-122.45011
737,37.76661,-122.45014
738,37.76665,-122.45015
739,37.76671,-122.45014
740,37.76677,-122.45016
741,37.76683,-122.45017
742,37.7669,-122.45019
743,37.76697,-122.4502
744,37.76704,-122.45021
745,37.76711,-122.45022
746,37.76718,-122.45024
747,37.76726,-122.45025
748,37.76732,-122.45026
749,37.76739,-122.45027
750,37.76745,-122.45028
751,37.76752,-122.45029
752,37.76758,-122.4503
753,37.76764,-122.45031
754,37.76771,-122.45033
755,37.76777,-122.45033
756,37.76783,-122.45034
757,37.76788,-122.45035
758,37.76794,-122.45036
759,37.768,-122.45037
760,37.76807,-122.45038
761,37.76812,-122.4504
762,37.76818,-122.45042
763,37.76825,-122.45044
764,37.76831,-122.45044
765,37.76836,-122.45046
766,37.7684,-122.45047
767,37.76845,-122.45049
768,37.76851,-122.4505
769,37.76856,-122.45053
770,37.7686,-122.45057
771,37.76861,-122.45062
772,37.76861,-122.45068
773,37.7686,-122.45074
774,37.76859,-122.45081
775,37.76858,-122.45088
776,37.76857,-122.45095
777,37.76856,-122.45102
778,37.76854,-122.45109
779,37.76853,-122.45117
780,37.76852,-122.45126
781,37.76851,-122.45134
782,37.7685,-122.4514
783,37.7685,-122.45146
784,37.7685,-122.4515
785,37.76849,-122.45155
786,37.76849,-122.45159
787,37.76849,-122.45163
788,37.76849,-122.45169
789,37.76848,-122.45175
790,37.76847,-122.45181
791,37.76846,-122.45188
792,37.76845,-122.45195
793,37.76844,-122.45202
794,37.76843,-122.4521
795,37.76842,-122.45218
796,37.76841,-122.45226
797,37.76841,-122.45234
798,37.7684,-122.45242
799,37.76839,-122.4525
800,37.76838,-122.45258
801,37.76838,-122.45265
802,37.76837,-122.45273
803,37.76836,-122.4528
804,37.76834,-122.45288
805,37.76833,-122.45295
806,37.76832,-122.45302
807,37.7683,-122.45309
808,37.7683,-122.45315
809,37.76831,-122.45322
810,37.76833,-122.45329
811,37.76836,-122.45335
812,37.7684,-122.45339
813,37.76846,-122.45341
814,37.76852,-122.45343
815,37.76858,-122.45343
816,37.76864,-122.45344
817,37.7687,-122.45344
818,37.76876,-122.45346
819,37.76882,-122.45346
820,37.76889,-122.45347
821,37.76895,-122.45348
822,37.76901,-122.4535
823,37.76906,-122.45356
824,37.7691,-122.45361
825,37.76913,-122.45366
826,37.76917,-122.45372
827,37.76921,-122.45377
828,37.76926,-122.45383
829,37.76931,-122.45388
830,37.76936,-122.45392
831,37.76941,-122.45396
832,37.76946,-122.454
833,37.76949,-122.45404
834,37.76951,-122.4541
835,37.76951,-122.45417
836,37.76952,-122.45423
837,37.76955,-122.45428
838,37.76958,-122.45433
839,37.76962,-122.45438
840,37.76966,-122.45441
841,37.76971,-122.45445
842,37.76976,-122.45448
843,37.7698,-122.45453
844,37.76984,-122.45458
845,37.76989,-122.45463
846,37.76993,-122.45468
847,37.76998,-122.45473
848,37.77003,-122.45478
849,37.77008,-122.45482
850,37.77012,-122.45487
851,37.77017,-122.45492
852,37.77021,-122.45498
853,37.77025,-122.45503
854,37.77028,-122.45508
855,37.77031,-122.45514
856,37.77034,-122.45517
857,37.77034,-122.45519
858,37.77035,-122.45521
859,37.77035,-122.45522
860,37.77035,-122.45524
861,37.77035,-122.45525
862,37.77035,-122.45527
863,37.77035,-122.45527
864,37.77035,-122.45527
865,37.77033,-122.45535
866,37.77032,-122.4554
867,37.77031,-122.45544
868,37.7703,-122.45549
869,37.77032,-122.45554
870,37.77035,-122.45557
871,37.77039,-122.45558
872,37.77044,-122.4556
873,37.77049,-122.45562
874,37.77056,-122.45563
875,37.77062,-122.45565
876,37.77068,-122.45569
877,37.77072,-122.45575
878,37.77075,-122.45583
879,37.77077,-122.45591
880,37.77079,-122.45599
881,37.7708,-122.45608
882,37.77081,-122.45617
883,37.77082,-122.45626
884,37.77083,-122.45635
885,37.77084,-122.45644
886,37.77085,-122.45652
887,37.77087,-122.4566
888,37.77089,-122.45666
889,37.77092,-122.45672
890,37.77096,-122.45676
891,37.77099,-122.45681
892,37.77103,-122.45686
893,37.77105,-122.45693
894,37.77107,-122.457
895,37.77107,-122.45708
896,37.77107,-122.45715
897,37.77108,-122.45723
898,37.7711,-122.45732
899,37.77111,-122.45741
900,37.77113,-122.4575
901,37.77115,-122.4576
902,37.77117,-122.45769
903,37.77118,-122.45779
904,37.77119,-122.45789
905,37.7712,-122.45798
906,37.77121,-122.45808
907,37.77122,-122.45817
908,37.77123,-122.45826
909,37.77124,-122.45835
910,37.77125,-122.45844
911,37.77127,-122.45854
912,37.77128,-122.45864
913,37.7713,-122.45873
914,37.77131,-122.45882
915,37.77133,-122.45892
916,37.77134,-122.45901
917,37.77136,-122.4591
918,37.77137,-122.45919
919,37.77138,-122.45928
920,37.77139,-122.45938
921,37.7714,-122.45948
922,37.77141,-122.45957
923,37.77142,-122.45966
924,37.77143,-122.45976
925,37.77145,-122.45985
926,37.77147,-122.45995
927,37.77148,-122.46004
928,37.7715,-122.46014
929,37.77152,-122.46023
930,37.77154,-122.46033
931,37.77155,-122.46042
932,37.77157,-122.46051
933,37.77158,-122.4606
934,37.7716,-122.46068
935,37.77162,-122.46078
936,37.77163,-122.46086
937,37.77165,-122.46095
938,37.77166,-122.46104
939,37.77168,-122.46113
940,37.77169,-122.46122
941,37.77171,-122.46131
942,37.77173,-122.4614
943,37.77174,-122.46148
944,37.77175,-122.46158
945,37.77176,-122.46167
946,37.77177,-122.46176
947,37.77177,-122.46185
948,37.77178,-122.46194
949,37.7718,-122.46203
950,37.77182,-122.46212
951,37.77184,-122.46221
952,37.77187,-122.46229
953,37.77189,-122.46238
954,37.77191,-122.46247
955,37.77194,-122.46255
956,37.77196,-122.46264
957,37.77199,-122.46272
958,37.77202,-122.46281
959,37.77205,-122.4629
960,37.77207,-122.46298
961,37.7721,-122.46307
962,37.77213,-122.46316
963,37.77216,-122.46324
964,37.77218,-122.46333
965,37.7722,-122.46342
966,37.77222,-122.46351
967,37.77224,-122.4636
968,37.77226,-122.46369
969,37.77228,-122.46378
970,37.77231,-122.46386
971,37.77233,-122.46395
972,37.77235,-122.46403
973,37.77237,-122.46411
974,37.77239,-122.46419
975,37.77241,-122.46426
976,37.77243,-122.46434
977,37.77246,-122.46441
978,37.77249,-122.46448
979,37.77251,-122.46456
980,37.77254,-122.46464
981,37.77256,-122.46472
982,37.77258,-122.4648
983,37.7726,-122.46489
984,37.77262,-122.46498
985,37.77264,-122.46506
986,37.77265,-122.46515
987,37.77266,-122.46523
988,37.77267,-122.46532
989,37.77268,-122.4654
990,37.77269,-122.46548
991,37.7727,-122.46557
992,37.77271,-122.46566
993,37.77272,-122.46574
994,37.77273,-122.46582
995,37.77273,-122.46591
996,37.77273,-122.46599
997,37.77273,-122.46608
998,37.77273,-122.46616
999,37.77272,-122.46624
1000,37.77272,-122.46633
1001,37.77271,-122.46641
1002,37.7727,-122.46649
1003,37.7727,-122.46657
1004,37.77269,-122.46666
1005,37.77268,-122.46674
1006,37.77267,-122.46682
1007,37.77267,-122.46691
1008,37.77266,-122.46699
1009,37.77265,-122.46707
1010,37.77264,-122.46716
1011,37.77262,-122.46724
1012,37.77261,-122.46733
1013,37.7726,-122.46741
1014,37.77258,-122.46749
1015,37.77258,-122.46758
1016,37.77257,-122.46766
1017,37.77256,-122.46775
1018,37.77256,-122.46784
1019,37.77255,-122.46792
1020,37.77255,-122.46802
1021,37.77255,-122.46811
1022,37.77254,-122.4682
1023,37.77254,-122.46829
1024,37.77253,-122.46837
1025,37.77253,-122.46846
1026,37.77252,-122.46854
1027,37.77251,-122.46862
1028,37.77249,-122.4687
1029,37.77247,-122.46878
1030,37.77244,-122.46887
1031,37.77241,-122.46895
1032,37.77238,-122.46903
1033,37.77235,-122.46911
1034,37.77232,-122.46918
1035,37.77228,-122.46926
1036,37.77225,-122.46933
1037,37.77221,-122.4694
1038,37.77218,-122.46948
1039,37.77214,-122.46956
1040,37.7721,-122.46963
1041,37.77205,-122.4697
1042,37.772,-122.46978
1043,37.77195,-122.46985
1044,37.7719,-122.46992
1045,37.77185,-122.46999
1046,37.77179,-122.47006
1047,37.77174,-122.47014
1048,37.77169,-122.47021
1049,37.77164,-122.47028
1050,37.77159,-122.47035
1051,37.77153,-122.47043
1052,37.77148,-122.47051
1053,37.77142,-122.4706
1054,37.77137,-122.47068
1055,37.77131,-122.47076
1056,37.77125,-122.47085
1057,37.7712,-122.47094
1058,37.77114,-122.47103
1059,37.77108,-122.47112
1060,37.77103,-122.47121
1061,37.77098,-122.47131
1062,37.77094,-122.47141
1063,37.7709,-122.47151
1064,37.77086,-122.4716
1065,37.77083,-122.4717
1066,37.7708,-122.4718
1067,37.77078,-122.4719
1068,37.77077,-122.472
1069,37.77076,-122.4721
1070,37.77075,-122.47219
